Name,Highway,Exit,City,State,Street Address
7 ELEVEN,I-81,240,MOUNT CRAWFORD,VA,6260 WALTON WAY
CIRCLE K,I-81,50,ATKINS,VA,5522 LEE HWY
CIRCLE K,I-81,84,MAX MEADOWS,VA,152 MAJOR GRAHAMS RD
CIRCLE K,I-81,150-A,TROUTVILLE,VA,2765 LEE HWY
EXIT 10 QUICK STOP,I-81,10,BRISTOL,VA,15324 LEE HWY
FLYING J TRAVEL CENTER #752,I-81,323,WINCHESTER,VA,1530 REST CHURCH RD
GO MART,I-81,235,WEYERS CAVE,VA,3373 LEE HWY
HARRISONBURG TRAVEL CENTER,I-81,243,HARRISONBURG,VA,3355 S MAIN ST
HIGH POINT TRUCK STOP,I-81,310,STEPHENS CITY,VA,5116 MAIN ST
I-81 TRAVEL PLAZA,I-81,86,MAX MEADOWS,VA,5722 E LEE HWY
LIBERTY TRUCK CENTER,I-81,273,MOUNT JACKSON,VA,218 CONICVILLE RD
LOVE'S TRAVEL STOP #239,I-81,84,MAX MEADOWS,VA,145 MAJOR GRAHAMS RD
LOVE'S TRAVEL STOP #305,I-81,291,TOMS BROOK,VA,1015 MT OLIVE RD
LOVE'S TRAVEL STOP #613,I-81,24,MEADOWVIEW,VA,13365 GLENBROOK AVE
NISHI FOOD MART #2,I-81,118-C,CHRISTIANSBURG,VA,2655 ROANOKE ST
OLDE STONE TRUCKSTOP,I-81,321,CLEAR BROOK,VA,3425 MARTINSBURG PIKE
PETRO STOPPING CENTER #372,I-81,29,GLADE SPRING,VA,12433 MAPLE ST
PILOT TRAVEL CENTER #258,I-81,150-A / 150-B,TROUTVILLE,VA,2966 LEE HWY S
PILOT TRAVEL CENTER #396,I-81,213-A SB/213 NB,STAUNTON,VA,3541 LEE JACKSON HWY
PILOT TRAVEL CENTER #4642,I-81,291,TOMS BROOK,VA,1014 MT OLIVE RD
PILOT TRAVEL CENTER #491,I-81,251,HARRISONBURG,VA,3634 N VALLEY PIKE
RADFORD TRAVEL CENTER,I-81,109,CHRISTIANSBURG,VA,2395 TYLER RD
SHEETZ TRAVEL CENTER,I-81,273,MOUNT JACKSON,VA,227 CONICVILLE RD
STOP IN FOOD STORE,I-81,101,DUBLIN,VA,150 STATE PARK RD
STOP IN FOOD STORE,I-81,128,ELLISTON,VA,5151 N FORK RD
VILLAGE TRUCK STOP,I-81,54,ATKINS,VA,7297 LEE HWY
