Exit of Truck Stop with Charger,Address of Candidates,distance(mi),latitude,longitude
310,"1530 REST CHURCH RD,WINCHESTER,VA,22642",14.611114283005698,39.28908,-78.12179
310,"218 CONICVILLE RD,MOUNT JACKSON,VA,22842",31.86064925590334,38.761889,-78.629447
310,"1015 MT OLIVE RD,TOMS BROOK,VA,22660",14.911414762306478,38.9654,-78.43951
310,"3425 MARTINSBURG PIKE,CLEAR BROOK,VA,22624",13.440219286109386,39.261067,-78.094157
310,"1014 MT OLIVE RD,TOMS BROOK,VA,22660",14.82686269242427,38.9665,-78.43858
310,"3634 N VALLEY PIKE,HARRISONBURG,VA,22802",48.51295167023761,38.53796,-78.77045
310,"227 CONICVILLE RD,MOUNT JACKSON,VA,22842",32.01694677979768,38.760364,-78.631593
205,"6260 WALTON WAY,MOUNT CRAWFORD,VA,22841",33.6290256667596,38.35675,-78.92347
205,"313 SPRINGFIELD LANE,STAUNTON,VA,24401",12.47168071660991,38.07703,-79.0893
205,"3373 LEE HWY,WEYERS CAVE,VA,24486",29.333213587020243,38.2895536,-78.9347266
205,"3355 S MAIN ST,HARRISONBURG,VA,22801",36.79815218881896,38.40347868,-78.91055457
205,"3541 LEE JACKSON HWY,STAUNTON,VA,24401",7.615266824511641,38.0199,-79.14135
205,"3634 N VALLEY PIKE,HARRISONBURG,VA,22802",48.602331641750474,38.53796,-78.77045
205,"2516 N LEE HWY,LEXINGTON,VA,24450",14.691479191237834,37.7919498,-79.4272747
205,"6260 WALTON WAY,MOUNT CRAWFORD,VA,22841",33.80594135452989,38.35675,-78.92347
205,"313 SPRINGFIELD LANE,STAUNTON,VA,24401",12.703153883746303,38.07703,-79.0893
205,"3373 LEE HWY,WEYERS CAVE,VA,24486",29.535588246379884,38.2895536,-78.9347266
205,"3355 S MAIN ST,HARRISONBURG,VA,22801",36.96352025457019,38.40347868,-78.91055457
205,"3541 LEE JACKSON HWY,STAUNTON,VA,24401",7.851319975823849,38.0199,-79.14135
205,"3634 N VALLEY PIKE,HARRISONBURG,VA,22802",48.78861748383966,38.53796,-78.77045
205,"2516 N LEE HWY,LEXINGTON,VA,24450",14.379973618217052,37.7919498,-79.4272747
205,"6260 WALTON WAY,MOUNT CRAWFORD,VA,22841",33.48067424257688,38.35675,-78.92347
205,"313 SPRINGFIELD LANE,STAUNTON,VA,24401",12.304311599280467,38.07703,-79.0893
205,"3373 LEE HWY,WEYERS CAVE,VA,24486",29.175018342534436,38.2895536,-78.9347266
205,"3355 S MAIN ST,HARRISONBURG,VA,22801",36.65431076915394,38.40347868,-78.91055457
205,"3541 LEE JACKSON HWY,STAUNTON,VA,24401",7.44833556264532,38.0199,-79.14135
205,"3634 N VALLEY PIKE,HARRISONBURG,VA,22802",48.449783591932004,38.53796,-78.77045
205,"2516 N LEE HWY,LEXINGTON,VA,24450",14.891702043636664,37.7919498,-79.4272747
